Car_Number,Arrive,Depart,Wait,Direction
270,12597,12600,3,E
271,12650,12652,2,N
272,12654,12656,2,W
273,12771,12772,1,E
274,12793,12796,3,W
275,12817,12820,3,S
276,12910,12912,2,N
277,12932,12932,0,W
278,12945,12948,3,E
279,13071,13072,1,W
280,13102,13104,2,S
281,13119,13120,1,E
282,13170,13172,2,N
283,13210,13212,2,W
284,13293,13296,3,E
285,13349,13352,3,W
286,13387,13388,1,S
287,13430,13432,2,N
288,13467,13468,1,E
289,13488,13488,0,W
290,13627,13628,1,W
291,13641,13644,3,E
292,13672,13672,0,S
293,13690,13692,2,N
294,13766,13768,2,W
295,13815,13816,1,E
296,13905,13908,3,W
297,13950,13952,2,N
298,13957,13960,3,S
299,13989,13992,3,E
300,14044,14044,0,W
301,14163,14164,1,E
302,14183,14184,1,W
303,14210,14212,2,N
304,14242,14244,2,S
305,14322,14324,2,W
306,14337,14340,3,E
307,14461,14464,3,W
308,14470,14472,2,N
309,14511,14512,1,E
310,14527,14528,1,S
311,14541,14544,3,W
312,14611,14612,1,E
313,14620,14620,0,N
314,14621,14624,3,W
315,14691,14692,1,S
316,14701,14704,3,W
317,14711,14712,1,E
318,14770,14772,2,N
319,14781,14784,3,W
320,14811,14812,1,E
321,14855,14856,1,S
322,14861,14864,3,W
323,14911,14912,1,E
324,14920,14920,0,N
325,14941,14944,3,W
326,15011,15012,1,E
327,15019,15020,1,S
328,15021,15024,3,W
329,15070,15072,2,N
330,15101,15104,3,W
331,15111,15112,1,E
332,15181,15184,3,W
333,15183,15188,5,S
334,15211,15212,1,E
335,15220,15220,0,N
336,15261,15264,3,W
337,15311,15312,1,E
338,15341,15344,3,W
339,15347,15348,1,S
340,15370,15372,2,N
341,15411,15412,1,E
342,15421,15424,3,W
343,15501,15504,3,W
344,15511,15512,1,S
345,15511,15516,5,E
346,15520,15520,0,N
347,15581,15584,3,W
348,15611,15612,1,E
349,15661,15664,3,W
350,15670,15672,2,N
351,15675,15676,1,S
352,15711,15712,1,E
353,15741,15744,3,W
354,15811,15812,1,E
355,15820,15820,0,N
356,15821,15824,3,W
357,15839,15840,1,S
358,15901,15904,3,W
359,15911,15912,1,E
360,15970,15972,2,N
361,15981,15984,3,W
362,16003,16004,1,S
363,16011,16012,1,E
364,16061,16064,3,W
365,16111,16112,1,E
366,16120,16120,0,N
367,16141,16144,3,W
368,16167,16168,1,S
369,16211,16212,1,E
370,16221,16224,3,W
371,16270,16272,2,N
372,16301,16304,3,W
373,16311,16312,1,E
374,16331,16332,1,S
375,16381,16384,3,W
376,16411,16412,1,E
377,16420,16420,0,N
378,16461,16464,3,W
379,16495,16496,1,S
380,16511,16512,1,E
381,16541,16544,3,W
382,16570,16572,2,N
383,16611,16612,1,E
384,16621,16624,3,W
385,16659,16660,1,S
386,16701,16704,3,W
387,16711,16712,1,E
388,16720,16720,0,N
389,16781,16784,3,W
390,16811,16812,1,E
391,16823,16824,1,S
392,16861,16864,3,W
393,16870,16872,2,N
394,16911,16912,1,E
395,16941,16944,3,W
396,16987,16988,1,S
397,17011,17012,1,E
398,17020,17020,0,N
399,17021,17024,3,W
400,17101,17104,3,W
401,17111,17112,1,E
402,17151,17152,1,S
403,17170,17172,2,N
404,17181,17184,3,W
405,17211,17212,1,E
406,17261,17264,3,W
407,17311,17312,1,E
408,17315,17316,1,S
409,17320,17320,0,N
410,17341,17344,3,W
411,17411,17412,1,E
412,17421,17424,3,W
413,17470,17472,2,N
414,17479,17480,1,S
415,17501,17504,3,W
416,17511,17512,1,E
417,17581,17584,3,W
418,17611,17612,1,E
419,17620,17620,0,N
420,17643,17644,1,S
421,17661,17664,3,W
422,17711,17712,1,E
423,17741,17744,3,W
424,17770,17772,2,N
425,17807,17808,1,S
426,17811,17812,1,E
427,17821,17824,3,W
428,17901,17904,3,W
429,17911,17912,1,E
430,17920,17920,0,N
431,17971,17972,1,S
432,17981,17984,3,W
433,18011,18012,1,E
434,18054,18056,2,E
435,18061,18064,3,W
436,18070,18072,2,N
437,18095,18096,1,W
438,18097,18100,3,E
439,18129,18132,3,W
440,18134,18136,2,N
441,18135,18140,5,S
442,18140,18144,4,E
443,18163,18164,1,W
444,18183,18184,1,E
445,18197,18200,3,W
446,18198,18204,6,N
447,18206,18208,2,S
448,18226,18228,2,E
449,18231,18232,1,W
450,18262,18264,2,N
451,18265,18268,3,W
452,18269,18272,3,E
453,18277,18280,3,S
454,18299,18300,1,W
455,18312,18312,0,E
456,18326,18328,2,N
457,18333,18336,3,W
458,18348,18348,0,S
459,18355,18356,1,E
460,18367,18368,1,W
461,18390,18392,2,N
462,18398,18400,2,E
463,18401,18404,3,W
464,18419,18420,1,S
465,18435,18436,1,W
466,18441,18444,3,E
467,18454,18456,2,N
468,18469,18472,3,W
469,18484,18484,0,E
470,18490,18492,2,S
471,18503,18504,1,W
472,18518,18520,2,N
473,18527,18528,1,E
474,18537,18540,3,W
475,18561,18564,3,S
476,18570,18572,2,E
477,18571,18576,5,W
478,18582,18584,2,N
479,18605,18608,3,W
480,18613,18616,3,E
481,18632,18632,0,S
482,18639,18640,1,W
483,18646,18648,2,N
484,18656,18656,0,E
485,18673,18676,3,W
486,18699,18700,1,E
487,18703,18704,1,S
488,18707,18708,1,W
489,18710,18712,2,N
490,18741,18744,3,W
491,18742,18748,6,E
492,18774,18776,2,S
493,18774,18780,6,N
494,18775,18784,9,W
495,18785,18788,3,E
496,18809,18812,3,W
497,18828,18828,0,E
498,18838,18840,2,N
499,18843,18844,1,W
500,18845,18848,3,S
501,18871,18872,1,E
502,18877,18880,3,W
503,18902,18904,2,N
504,18911,18912,1,W
505,18914,18916,2,E
506,18916,18920,4,S
507,18945,18948,3,W
508,18957,18960,3,E
509,18966,18968,2,N
510,18979,18980,1,W
511,18987,18988,1,S
512,19000,19000,0,E
513,19013,19016,3,W
514,19030,19032,2,N
515,19043,19044,1,E
