Car_Number,Arrive,Depart,Wait,Direction
3337,34192,34200,8,S
3338,34202,34204,2,N
3339,34204,34208,4,W
3340,34208,34212,4,E
3341,34219,34220,1,W
3342,34223,34224,1,S
3343,34227,34228,1,E
3344,34230,34232,2,N
3345,34234,34236,2,W
3346,34246,34248,2,E
3347,34249,34252,3,W
3348,34254,34256,2,S
3349,34258,34260,2,N
3350,34264,34264,0,W
3351,34265,34268,3,E
3352,34279,34280,1,W
3353,34284,34284,0,E
3354,34285,34288,3,S
3355,34286,34292,6,N
3356,34294,34296,2,W
3357,34303,34304,1,E
3358,34309,34312,3,W
3359,34314,34316,2,N
3360,34316,34320,4,S
3361,34322,34324,2,E
3362,34324,34328,4,W
3363,34339,34340,1,W
3364,34341,34344,3,E
3365,34342,34348,6,N
3366,34347,34352,5,S
3367,34354,34356,2,W
3368,34360,34360,0,E
3369,34369,34372,3,W
3370,34370,34376,6,N
3371,34378,34380,2,S
3372,34379,34384,5,E
3373,34384,34388,4,W
3374,34398,34400,2,N
3375,34398,34404,6,E
3376,34399,34408,9,W
3377,34409,34412,3,S
3378,34414,34416,2,W
3379,34417,34420,3,E
3380,34426,34428,2,N
3381,34429,34432,3,W
3382,34436,34436,0,E
3383,34440,34440,0,S
3384,34444,34444,0,W
3385,34454,34456,2,N
3386,34455,34460,5,E
3387,34459,34464,5,W
3388,34471,34472,1,S
3389,34474,34476,2,E
3390,34474,34480,6,W
3391,34482,34484,2,N
3392,34489,34492,3,W
3393,34493,34496,3,E
3394,34502,34504,2,S
3395,34504,34508,4,W
3396,34510,34512,2,N
3397,34512,34516,4,E
3398,34519,34520,1,W
3399,34531,34532,1,E
3400,34533,34536,3,S
3401,34534,34540,6,W
3402,34538,34544,6,N
3403,34549,34552,3,W
3404,34550,34556,6,E
3405,34564,34564,0,S
3406,34564,34568,4,W
3407,34566,34572,6,N
3408,34569,34576,7,E
3409,34579,34580,1,W
3410,34588,34588,0,E
3411,34594,34596,2,N
3412,34594,34600,6,W
3413,34595,34604,9,S
3414,34607,34608,1,E
3415,34609,34612,3,W
3416,34622,34624,2,N
3417,34624,34628,4,W
3418,34626,34632,6,S
3419,34626,34636,10,E
3420,34639,34640,1,W
3421,34645,34648,3,E
3422,34650,34652,2,N
3423,34654,34656,2,W
3424,34657,34660,3,S
3425,34664,34664,0,E
3426,34669,34672,3,W
3427,34678,34680,2,N
3428,34683,34684,1,E
3429,34684,34688,4,W
3430,34688,34692,4,S
3431,34699,34700,1,W
3432,34702,34704,2,E
3433,34706,34708,2,N
3434,34714,34716,2,W
3435,34719,34720,1,S
3436,34721,34724,3,E
3437,34729,34732,3,W
3438,34734,34736,2,N
3439,34740,34740,0,E
3440,34744,34744,0,W
3441,34750,34752,2,S
3442,34759,34760,1,E
3443,34759,34764,5,W
3444,34762,34768,6,N
3445,34774,34776,2,W
3446,34778,34780,2,E
3447,34781,34784,3,S
3448,34789,34792,3,W
3449,34790,34796,6,N
3450,34797,34800,3,E
3451,34804,34804,0,W
3452,34812,34812,0,S
3453,34816,34816,0,E
3454,34818,34820,2,N
3455,34819,34824,5,W
3456,34834,34836,2,W
3457,34835,34840,5,E
3458,34843,34844,1,S
3459,34846,34848,2,N
3460,34849,34852,3,W
3461,34854,34856,2,E
3462,34864,34864,0,W
3463,34873,34876,3,E
3464,34874,34880,6,S
3465,34874,34884,10,N
3466,34879,34888,9,W
3467,34892,34892,0,E
3468,34894,34896,2,W
3469,34902,34904,2,N
3470,34905,34908,3,S
3471,34909,34912,3,W
3472,34911,34916,5,E
3473,34924,34924,0,W
3474,34930,34932,2,N
3475,34930,34936,6,E
3476,34936,34940,4,S
3477,34939,34944,5,W
3478,34949,34952,3,E
3479,34954,34956,2,W
3480,34958,34960,2,N
3481,34967,34968,1,S
3482,34968,34972,4,E
3483,34969,34976,7,W
3484,34984,34984,0,W
3485,34986,34988,2,N
3486,34987,34992,5,E
3487,34998,35000,2,S
3488,34999,35004,5,W
3489,35006,35008,2,E
3490,35014,35016,2,N
3491,35014,35020,6,W
3492,35025,35028,3,E
3493,35029,35032,3,S
3494,35029,35036,7,W
3495,35042,35044,2,N
3496,35044,35048,4,E
3497,35044,35052,8,W
3498,35059,35060,1,W
3499,35060,35064,4,S
3500,35063,35068,5,E
3501,35070,35072,2,N
3502,35074,35076,2,W
3503,35082,35084,2,E
3504,35089,35092,3,W
3505,35091,35096,5,S
3506,35098,35100,2,N
3507,35101,35104,3,E
3508,35104,35108,4,W
3509,35119,35120,1,W
3510,35120,35124,4,E
3511,35122,35128,6,S
3512,35126,35132,6,N
3513,35134,35136,2,W
3514,35139,35140,1,E
3515,35149,35152,3,W
3516,35153,35156,3,S
3517,35154,35160,6,N
3518,35158,35164,6,E
3519,35164,35168,4,W
3520,35177,35180,3,E
3521,35179,35184,5,W
3522,35182,35188,6,N
3523,35184,35192,8,S
3524,35194,35196,2,W
3525,35196,35200,4,E
3526,35209,35212,3,W
3527,35210,35216,6,N
3528,35215,35220,5,S
3529,35215,35224,9,E
3530,35224,35228,4,W
3531,35234,35236,2,E
3532,35238,35240,2,N
3533,35239,35244,5,W
3534,35246,35248,2,S
3535,35253,35256,3,E
3536,35254,35260,6,W
3537,35266,35268,2,N
3538,35269,35272,3,W
3539,35272,35276,4,E
3540,35277,35280,3,S
3541,35284,35284,0,W
3542,35291,35292,1,E
3543,35294,35296,2,N
3544,35299,35300,1,W
3545,35308,35308,0,S
3546,35310,35312,2,E
3547,35314,35316,2,W
3548,35322,35324,2,N
3549,35329,35332,3,E
3550,35329,35336,7,W
3551,35339,35340,1,S
3552,35344,35344,0,W
3553,35348,35348,0,E
3554,35350,35352,2,N
3555,35359,35360,1,W
3556,35367,35368,1,E
3557,35370,35372,2,S
3558,35374,35376,2,W
3559,35378,35380,2,N
3560,35386,35388,2,E
3561,35389,35392,3,W
3562,35401,35404,3,S
3563,35404,35408,4,W
3564,35405,35412,7,E
3565,35406,35416,10,N
3566,35419,35420,1,W
3567,35424,35424,0,E
3568,35432,35432,0,S
3569,35434,35436,2,N
3570,35434,35440,6,W
3571,35443,35444,1,E
3572,35449,35452,3,W
3573,35462,35464,2,N
3574,35462,35468,6,E
3575,35463,35472,9,S
3576,35464,35476,12,W
3577,35479,35480,1,W
3578,35481,35484,3,E
3579,35490,35492,2,N
3580,35494,35496,2,S
3581,35494,35500,6,W
3582,35500,35504,4,E
3583,35509,35512,3,W
3584,35518,35520,2,N
3585,35519,35524,5,E
3586,35524,35528,4,W
3587,35525,35532,7,S
3588,35538,35540,2,E
3589,35539,35544,5,W
3590,35546,35548,2,N
3591,35554,35556,2,W
3592,35556,35560,4,S
3593,35557,35564,7,E
3594,35569,35572,3,W
3595,35574,35576,2,N
3596,35576,35580,4,E
3597,35584,35584,0,W
3598,35587,35588,1,S
3599,35595,35596,1,E
3600,35599,35600,1,W
3601,35602,35604,2,N
3602,35614,35616,2,E
3603,35614,35620,6,W
3604,35618,35624,6,S
3605,35629,35632,3,W
3606,35630,35636,6,N
3607,35633,35640,7,E
3608,35644,35644,0,W
3609,35649,35652,3,S
3610,35652,35656,4,E
3611,35658,35660,2,N
3612,35659,35664,5,W
3613,35671,35672,1,E
3614,35674,35676,2,W
3615,35680,35680,0,S
3616,35686,35688,2,N
3617,35689,35692,3,W
3618,35690,35696,6,E
3619,35704,35704,0,W
3620,35709,35712,3,E
3621,35711,35716,5,S
3622,35714,35720,6,N
3623,35719,35724,5,W
3624,35728,35728,0,E
3625,35734,35736,2,W
3626,35742,35744,2,S
3627,35742,35748,6,N
3628,35747,35752,5,E
3629,35749,35756,7,W
3630,35764,35764,0,W
3631,35766,35768,2,E
3632,35770,35772,2,N
3633,35773,35776,3,S
3634,35779,35780,1,W
3635,35785,35788,3,E
3636,35794,35796,2,W
3637,35798,35800,2,N
3638,35804,35804,0,S
3639,35804,35808,4,E
3640,35809,35812,3,W
3641,35823,35824,1,E
3642,35824,35828,4,W
3643,35826,35832,6,N
3644,35835,35836,1,S
3645,35839,35840,1,W
3646,35842,35844,2,E
3647,35854,35856,2,N
3648,35854,35860,6,W
3649,35861,35864,3,E
3650,35866,35868,2,S
3651,35869,35872,3,W
3652,35880,35880,0,E
3653,35882,35884,2,N
3654,35884,35888,4,W
3655,35897,35900,3,S
3656,35899,35904,5,E
3657,35899,35908,9,W
3658,35910,35912,2,N
3659,35914,35916,2,W
3660,35918,35920,2,E
3661,35928,35928,0,S
3662,35929,35932,3,W
3663,35937,35940,3,E
3664,35938,35944,6,N
3665,35944,35948,4,W
3666,35956,35956,0,E
3667,35959,35960,1,S
3668,35959,35964,5,W
3669,35966,35968,2,N
3670,35974,35976,2,W
3671,35975,35980,5,E
3672,35989,35992,3,W
3673,35990,35996,6,S
3674,35994,36000,6,N
3675,35994,36004,10,E
3676,36004,36008,4,W
3677,36013,36016,3,E
3678,36020,36020,0,W
3679,36021,36024,3,S
3680,36022,36028,6,N
3681,36032,36032,0,E
3682,36036,36036,0,W
3683,36051,36052,1,N
3684,36051,36056,5,E
3685,36052,36060,8,W
3686,36053,36064,11,S
3687,36068,36068,0,W
3688,36070,36072,2,E
3689,36080,36080,0,N
3690,36084,36084,0,W
3691,36085,36088,3,S
3692,36089,36092,3,E
3693,36100,36100,0,W
3694,36108,36108,0,E
3695,36109,36112,3,N
3696,36116,36116,0,W
3697,36117,36120,3,S
3698,36127,36128,1,E
3699,36132,36132,0,W
3700,36138,36140,2,N
3701,36146,36148,2,E
3702,36148,36152,4,W
3703,36149,36156,7,S
3704,36164,36164,0,W
3705,36165,36168,3,E
3706,36167,36172,5,N
3707,36180,36180,0,W
3708,36181,36184,3,S
3709,36184,36188,4,E
3710,36196,36196,0,N
3711,36196,36200,4,W
3712,36203,36204,1,E
3713,36212,36212,0,W
3714,36213,36216,3,S
3715,36222,36224,2,E
3716,36225,36228,3,N
3717,36228,36232,4,W
3718,36241,36244,3,E
3719,36244,36248,4,W
3720,36245,36252,7,S
3721,36254,36256,2,N
3722,36260,36260,0,E
3723,36260,36264,4,W
3724,36276,36276,0,W
3725,36277,36280,3,S
3726,36279,36284,5,E
3727,36283,36288,5,N
3728,36292,36292,0,W
3729,36298,36300,2,E
3730,36308,36308,0,W
3731,36309,36312,3,S
3732,36312,36316,4,N
3733,36317,36320,3,E
3734,36324,36324,0,W
3735,36336,36336,0,E
3736,36340,36340,0,W
3737,36341,36344,3,S
3738,36341,36348,7,N
3739,36355,36356,1,E
3740,36356,36360,4,W
3741,36370,36372,2,N
3742,36372,36376,4,W
3743,36373,36380,7,S
3744,36374,36384,10,E
3745,36388,36388,0,W
3746,36393,36396,3,E
3747,36399,36400,1,N
3748,36404,36404,0,W
3749,36405,36408,3,S
3750,36412,36412,0,E
3751,36420,36420,0,W
3752,36428,36428,0,N
3753,36431,36432,1,E
3754,36436,36436,0,W
3755,36437,36440,3,S
3756,36450,36452,2,E
3757,36452,36456,4,W
3758,36457,36460,3,N
3759,36468,36468,0,W
3760,36469,36472,3,S
3761,36469,36476,7,E
3762,36484,36484,0,W
3763,36486,36488,2,N
3764,36488,36492,4,E
3765,36500,36500,0,W
3766,36501,36504,3,S
3767,36507,36508,1,E
3768,36515,36516,1,N
3769,36516,36520,4,W
3770,36526,36528,2,E
3771,36532,36532,0,W
3772,36533,36536,3,S
3773,36544,36544,0,N
3774,36545,36548,3,E
3775,36548,36552,4,W
3776,36564,36564,0,E
3777,36564,36568,4,W
3778,36565,36572,7,S
3779,36573,36576,3,N
3780,36580,36580,0,W
3781,36583,36584,1,E
3782,36596,36596,0,W
3783,36597,36600,3,S
3784,36602,36604,2,N
3785,36602,36608,6,E
3786,36612,36612,0,W
3787,36621,36624,3,E
3788,36628,36628,0,W
3789,36629,36632,3,S
3790,36631,36636,5,N
3791,36640,36640,0,E
3792,36644,36644,0,W
3793,36659,36660,1,E
3794,36660,36664,4,N
3795,36660,36668,8,W
3796,36661,36672,11,S
3797,36676,36676,0,W
3798,36678,36680,2,E
3799,36689,36692,3,N
3800,36692,36696,4,W
3801,36693,36700,7,S
3802,36697,36704,7,E
3803,36708,36708,0,W
3804,36716,36716,0,E
3805,36718,36720,2,N
3806,36724,36724,0,W
3807,36725,36728,3,S
3808,36735,36736,1,E
3809,36740,36740,0,W
3810,36747,36748,1,N
3811,36754,36756,2,E
3812,36756,36760,4,W
3813,36757,36764,7,S
3814,36772,36772,0,W
3815,36773,36776,3,E
3816,36776,36780,4,N
3817,36788,36788,0,W
3818,36789,36792,3,S
3819,36792,36796,4,E
3820,36804,36804,0,W
3821,36805,36808,3,N
3822,36811,36812,1,E
3823,36820,36820,0,W
3824,36821,36824,3,S
3825,36830,36832,2,E
3826,36834,36836,2,N
3827,36836,36840,4,W
3828,36849,36852,3,E
3829,36852,36856,4,W
3830,36853,36860,7,S
3831,36863,36864,1,N
3832,36868,36868,0,E
3833,36868,36872,4,W
3834,36884,36884,0,W
3835,36885,36888,3,S
3836,36887,36892,5,E
3837,36892,36896,4,N
3838,36900,36900,0,W
3839,36906,36908,2,E
3840,36916,36916,0,W
3841,36917,36920,3,S
3842,36921,36924,3,N
3843,36925,36928,3,E
3844,36932,36932,0,W
3845,36944,36944,0,E
3846,36948,36948,0,W
3847,36949,36952,3,S
3848,36950,36956,6,N
3849,36963,36964,1,E
3850,36964,36968,4,W
3851,36979,36980,1,N
3852,36980,36984,4,W
3853,36981,36988,7,S
3854,36982,36992,10,E
3855,36996,36996,0,W
3856,37001,37004,3,E
3857,37008,37008,0,N
3858,37012,37012,0,W
3859,37013,37016,3,S
3860,37020,37020,0,E
3861,37028,37028,0,W
3862,37037,37040,3,N
3863,37039,37044,5,E
3864,37044,37048,4,W
3865,37045,37052,7,S
3866,37058,37060,2,E
3867,37060,37064,4,W
3868,37066,37068,2,N
3869,37076,37076,0,W
3870,37077,37080,3,S
3871,37077,37084,7,E
3872,37092,37092,0,W
3873,37095,37096,1,N
3874,37096,37100,4,E
3875,37108,37108,0,W
3876,37109,37112,3,S
3877,37115,37116,1,E
3878,37124,37124,0,N
3879,37124,37128,4,W
3880,37134,37136,2,E
3881,37140,37140,0,W
3882,37141,37144,3,S
3883,37153,37156,3,N
3884,37153,37160,7,E
3885,37156,37164,8,W
3886,37172,37172,0,E
3887,37172,37176,4,W
3888,37173,37180,7,S
3889,37182,37184,2,N
3890,37188,37188,0,W
3891,37191,37192,1,E
3892,37204,37204,0,W
3893,37205,37208,3,S
3894,37210,37212,2,E
3895,37211,37216,5,N
3896,37220,37220,0,W
3897,37229,37232,3,E
3898,37236,37236,0,W
3899,37237,37240,3,S
3900,37240,37244,4,N
3901,37248,37248,0,E
3902,37252,37252,0,W
3903,37267,37268,1,E
3904,37268,37272,4,W
3905,37269,37276,7,S
3906,37269,37280,11,N
3907,37284,37284,0,W
3908,37286,37288,2,E
3909,37298,37300,2,N
3910,37300,37304,4,W
3911,37301,37308,7,S
3912,37305,37312,7,E
3913,37316,37316,0,W
3914,37324,37324,0,E
3915,37327,37328,1,N
3916,37332,37332,0,W
3917,37333,37336,3,S
3918,37343,37344,1,E
3919,37348,37348,0,W
3920,37356,37356,0,N
3921,37362,37364,2,E
3922,37364,37368,4,W
3923,37365,37372,7,S
3924,37380,37380,0,W
3925,37381,37384,3,E
3926,37385,37388,3,N
3927,37396,37396,0,W
3928,37397,37400,3,S
3929,37400,37404,4,E
3930,37412,37412,0,W
3931,37414,37416,2,N
3932,37419,37420,1,E
3933,37428,37428,0,W
3934,37429,37432,3,S
3935,37438,37440,2,E
3936,37443,37444,1,N
3937,37444,37448,4,W
3938,37457,37460,3,E
3939,37460,37464,4,W
3940,37461,37468,7,S
3941,37472,37472,0,N
3942,37476,37476,0,E
3943,37476,37480,4,W
3944,37492,37492,0,W
3945,37493,37496,3,S
3946,37495,37500,5,E
3947,37501,37504,3,N
3948,37508,37508,0,W
3949,37514,37516,2,E
3950,37524,37524,0,W
3951,37525,37528,3,S
3952,37530,37532,2,N
3953,37533,37536,3,E
3954,37540,37540,0,W
3955,37552,37552,0,E
3956,37556,37556,0,W
3957,37557,37560,3,S
3958,37559,37564,5,N
3959,37571,37572,1,E
3960,37572,37576,4,W
3961,37588,37588,0,N
3962,37588,37592,4,W
3963,37589,37596,7,S
3964,37590,37600,10,E
3965,37604,37604,0,W
3966,37609,37612,3,E
3967,37617,37620,3,N
3968,37620,37624,4,W
3969,37621,37628,7,S
3970,37628,37632,4,E
3971,37636,37636,0,W
3972,37646,37648,2,N
3973,37647,37652,5,E
3974,37652,37656,4,W
3975,37653,37660,7,S
3976,37666,37668,2,E
3977,37668,37672,4,W
3978,37675,37676,1,N
3979,37684,37684,0,W
3980,37685,37688,3,S
3981,37685,37692,7,E
3982,37700,37700,0,W
3983,37704,37704,0,N
3984,37704,37708,4,E
3985,37716,37716,0,W
3986,37717,37720,3,S
3987,37723,37724,1,E
3988,37732,37732,0,W
3989,37733,37736,3,N
3990,37742,37744,2,E
3991,37748,37748,0,W
3992,37749,37752,3,S
3993,37761,37764,3,E
3994,37762,37768,6,N
3995,37764,37772,8,W
3996,37780,37780,0,E
3997,37780,37784,4,W
3998,37781,37788,7,S
3999,37791,37792,1,N
4000,37796,37796,0,W
4001,37799,37800,1,E
4002,37812,37812,0,W
4003,37813,37816,3,S
4004,37818,37820,2,E
4005,37820,37824,4,N
4006,37828,37828,0,W
4007,37837,37840,3,E
4008,37844,37844,0,W
4009,37845,37848,3,S
4010,37849,37852,3,N
4011,37856,37856,0,E
4012,37860,37860,0,W
4013,37875,37876,1,E
4014,37876,37880,4,W
4015,37877,37884,7,S
4016,37878,37888,10,N
4017,37892,37892,0,W
4018,37894,37896,2,E
4019,37907,37908,1,N
4020,37908,37912,4,W
4021,37909,37916,7,S
4022,37913,37920,7,E
4023,37924,37924,0,W
4024,37932,37932,0,E
4025,37936,37936,0,N
4026,37940,37940,0,W
4027,37941,37944,3,S
4028,37951,37952,1,E
4029,37956,37956,0,W
4030,37965,37968,3,N
4031,37970,37972,2,E
4032,37972,37976,4,W
4033,37973,37980,7,S
4034,37988,37988,0,W
4035,37989,37992,3,E
4036,37994,37996,2,N
4037,38004,38004,0,W
4038,38005,38008,3,S
4039,38008,38012,4,E
4040,38020,38020,0,W
4041,38023,38024,1,N
4042,38027,38028,1,E
4043,38036,38036,0,W
4044,38037,38040,3,S
4045,38046,38048,2,E
4046,38052,38052,0,N
4047,38052,38056,4,W
4048,38065,38068,3,E
4049,38068,38072,4,W
4050,38069,38076,7,S
4051,38081,38084,3,N
4052,38084,38088,4,E
4053,38084,38092,8,W
4054,38100,38100,0,W
4055,38101,38104,3,S
4056,38103,38108,5,E
4057,38110,38112,2,N
4058,38116,38116,0,W
4059,38122,38124,2,E
4060,38132,38132,0,W
4061,38133,38136,3,S
4062,38139,38140,1,N
4063,38141,38144,3,E
4064,38148,38148,0,W
4065,38160,38160,0,E
4066,38164,38164,0,W
4067,38165,38168,3,S
4068,38168,38172,4,N
4069,38179,38180,1,E
4070,38180,38184,4,W
4071,38196,38196,0,W
4072,38197,38200,3,S
4073,38197,38204,7,N
4074,38198,38208,10,E
4075,38212,38212,0,W
4076,38217,38220,3,E
4077,38226,38228,2,N
4078,38228,38232,4,W
4079,38229,38236,7,S
4080,38236,38240,4,E
4081,38244,38244,0,W
4082,38255,38256,1,N
4083,38255,38260,5,E
4084,38260,38264,4,W
4085,38261,38268,7,S
4086,38274,38276,2,E
4087,38276,38280,4,W
4088,38284,38284,0,N
4089,38292,38292,0,W
4090,38293,38296,3,S
4091,38293,38300,7,E
4092,38308,38308,0,W
4093,38312,38312,0,E
4094,38313,38316,3,N
4095,38324,38324,0,W
4096,38325,38328,3,S
4097,38331,38332,1,E
4098,38340,38340,0,W
4099,38342,38344,2,N
4100,38350,38352,2,E
4101,38356,38356,0,W
4102,38357,38360,3,S
4103,38369,38372,3,E
4104,38371,38376,5,N
4105,38372,38380,8,W
4106,38388,38388,0,E
4107,38388,38392,4,W
4108,38389,38396,7,S
4109,38400,38400,0,N
4110,38404,38404,0,W
4111,38407,38408,1,E
4112,38420,38420,0,W
4113,38421,38424,3,S
4114,38426,38428,2,E
4115,38429,38432,3,N
4116,38436,38436,0,W
4117,38445,38448,3,E
4118,38452,38452,0,W
4119,38453,38456,3,S
4120,38458,38460,2,N
4121,38464,38464,0,E
4122,38468,38468,0,W
4123,38483,38484,1,E
4124,38484,38488,4,W
4125,38485,38492,7,S
4126,38487,38496,9,N
4127,38500,38500,0,W
4128,38502,38504,2,E
4129,38516,38516,0,N
4130,38516,38520,4,W
4131,38517,38524,7,S
4132,38521,38528,7,E
4133,38532,38532,0,W
4134,38540,38540,0,E
4135,38545,38548,3,N
4136,38548,38552,4,W
4137,38549,38556,7,S
4138,38559,38560,1,E
4139,38564,38564,0,W
4140,38574,38576,2,N
4141,38578,38580,2,E
4142,38580,38584,4,W
4143,38581,38588,7,S
4144,38596,38596,0,W
4145,38597,38600,3,E
4146,38603,38604,1,N
4147,38612,38612,0,W
4148,38613,38616,3,S
4149,38616,38620,4,E
4150,38628,38628,0,W
4151,38632,38632,0,N
4152,38635,38636,1,E
4153,38644,38644,0,W
4154,38645,38648,3,S
4155,38654,38656,2,E
4156,38660,38660,0,W
4157,38661,38664,3,N
4158,38673,38676,3,E
4159,38676,38680,4,W
4160,38677,38684,7,S
4161,38690,38692,2,N
4162,38692,38696,4,E
4163,38692,38700,8,W
4164,38708,38708,0,W
4165,38709,38712,3,S
4166,38711,38716,5,E
4167,38719,38720,1,N
4168,38724,38724,0,W
4169,38730,38732,2,E
4170,38740,38740,0,W
4171,38741,38744,3,S
4172,38748,38748,0,N
4173,38749,38752,3,E
4174,38756,38756,0,W
4175,38768,38768,0,E
4176,38772,38772,0,W
4177,38773,38776,3,S
4178,38777,38780,3,N
4179,38787,38788,1,E
4180,38788,38792,4,W
4181,38804,38804,0,W
4182,38805,38808,3,S
4183,38806,38812,6,N
4184,38806,38816,10,E
4185,38820,38820,0,W
4186,38825,38828,3,E
4187,38835,38836,1,N
4188,38836,38840,4,W
4189,38837,38844,7,S
4190,38844,38848,4,E
4191,38852,38852,0,W
4192,38863,38864,1,E
4193,38864,38868,4,N
4194,38868,38872,4,W
4195,38869,38876,7,S
4196,38882,38884,2,E
4197,38884,38888,4,W
4198,38893,38896,3,N
4199,38900,38900,0,W
4200,38901,38904,3,S
4201,38901,38908,7,E
4202,38916,38916,0,W
4203,38920,38920,0,E
4204,38922,38924,2,N
4205,38932,38932,0,W
4206,38933,38936,3,S
4207,38939,38940,1,E
4208,38948,38948,0,W
4209,38951,38952,1,N
4210,38958,38960,2,E
4211,38964,38964,0,W
4212,38965,38968,3,S
4213,38977,38980,3,E
4214,38980,38984,4,N
4215,38980,38988,8,W
4216,38996,38996,0,E
4217,38996,39000,4,W
4218,38997,39004,7,S
4219,39009,39012,3,N
4220,39012,39016,4,W
4221,39015,39020,5,E
4222,39028,39028,0,W
4223,39029,39032,3,S
4224,39034,39036,2,E
4225,39038,39040,2,N
4226,39044,39044,0,W
4227,39053,39056,3,E
4228,39060,39060,0,W
4229,39061,39064,3,S
4230,39067,39068,1,N
4231,39072,39072,0,E
4232,39076,39076,0,W
4233,39091,39092,1,E
4234,39092,39096,4,W
4235,39093,39100,7,S
4236,39096,39104,8,N
4237,39108,39108,0,W
4238,39110,39112,2,E
4239,39124,39124,0,W
4240,39125,39128,3,S
4241,39125,39132,7,N
4242,39129,39136,7,E
4243,39140,39140,0,W
4244,39148,39148,0,E
4245,39154,39156,2,N
4246,39156,39160,4,W
4247,39157,39164,7,S
4248,39167,39168,1,E
4249,39172,39172,0,W
4250,39183,39184,1,N
4251,39186,39188,2,E
4252,39188,39192,4,W
4253,39189,39196,7,S
4254,39204,39204,0,W
4255,39205,39208,3,E
4256,39212,39212,0,N
4257,39220,39220,0,W
4258,39221,39224,3,S
4259,39224,39228,4,E
4260,39236,39236,0,W
4261,39241,39244,3,N
4262,39243,39248,5,E
4263,39252,39252,0,W
4264,39253,39256,3,S
4265,39262,39264,2,E
4266,39268,39268,0,W
4267,39270,39272,2,N
4268,39281,39284,3,E
4269,39284,39288,4,W
4270,39285,39292,7,S
4271,39299,39300,1,N
4272,39300,39304,4,E
4273,39300,39308,8,W
4274,39316,39316,0,W
4275,39317,39320,3,S
4276,39319,39324,5,E
4277,39328,39328,0,N
4278,39332,39332,0,W
4279,39338,39340,2,E
4280,39348,39348,0,W
4281,39349,39352,3,S
4282,39357,39360,3,N
4283,39357,39364,7,E
4284,39364,39368,4,W
4285,39376,39376,0,E
4286,39380,39380,0,W
4287,39381,39384,3,S
4288,39386,39388,2,N
4289,39395,39396,1,E
4290,39396,39400,4,W
4291,39412,39412,0,W
4292,39413,39416,3,S
4293,39414,39420,6,E
4294,39415,39424,9,N
4295,39428,39428,0,W
4296,39433,39436,3,E
4297,39444,39444,0,N
4298,39444,39448,4,W
4299,39445,39452,7,S
4300,39452,39456,4,E
4301,39460,39460,0,W
4302,39471,39472,1,E
4303,39473,39476,3,N
4304,39476,39480,4,W
4305,39477,39484,7,S
4306,39490,39492,2,E
4307,39492,39496,4,W
4308,39502,39504,2,N
4309,39508,39508,0,W
4310,39509,39512,3,S
4311,39509,39516,7,E
4312,39524,39524,0,W
4313,39528,39528,0,E
4314,39531,39532,1,N
4315,39540,39540,0,W
4316,39541,39544,3,S
4317,39547,39548,1,E
4318,39556,39556,0,W
4319,39560,39560,0,N
4320,39566,39568,2,E
4321,39572,39572,0,W
4322,39573,39576,3,S
4323,39585,39588,3,E
4324,39588,39592,4,W
4325,39589,39596,7,N
4326,39604,39604,0,E
4327,39604,39608,4,W
4328,39605,39612,7,S
4329,39618,39620,2,N
4330,39619,39624,5,W
4331,39622,39628,6,E
4332,39634,39636,2,W
4333,39635,39640,5,S
4334,39640,39644,4,E
4335,39646,39648,2,N
4336,39649,39652,3,W
4337,39658,39660,2,E
4338,39664,39664,0,W
4339,39665,39668,3,S
4340,39674,39676,2,N
4341,39676,39680,4,E
4342,39679,39684,5,W
4343,39694,39696,2,E
4344,39694,39700,6,W
4345,39695,39704,9,S
4346,39702,39708,6,N
4347,39709,39712,3,W
4348,39712,39716,4,E
4349,39724,39724,0,W
4350,39725,39728,3,S
4351,39730,39732,2,N
4352,39730,39736,6,E
4353,39739,39740,1,W
4354,39748,39748,0,E
4355,39754,39756,2,W
4356,39755,39760,5,S
4357,39758,39764,6,N
4358,39766,39768,2,E
4359,39769,39772,3,W
4360,39784,39784,0,E
4361,39784,39788,4,W
4362,39785,39792,7,S
4363,39786,39796,10,N
4364,39799,39800,1,W
4365,39802,39804,2,E
4366,39814,39816,2,N
4367,39814,39820,6,W
4368,39815,39824,9,S
4369,39820,39828,8,E
4370,39829,39832,3,W
4371,39838,39840,2,E
4372,39842,39844,2,N
4373,39844,39848,4,W
4374,39845,39852,7,S
4375,39856,39856,0,E
4376,39859,39860,1,W
4377,39870,39872,2,N
4378,39874,39876,2,E
4379,39874,39880,6,W
4380,39875,39884,9,S
4381,39889,39892,3,W
4382,39892,39896,4,E
4383,39898,39900,2,N
4384,39904,39904,0,W
4385,39905,39908,3,S
4386,39910,39912,2,E
4387,39919,39920,1,W
4388,39926,39928,2,N
4389,39928,39932,4,E
4390,39934,39936,2,W
4391,39935,39940,5,S
4392,39946,39948,2,E
4393,39949,39952,3,W
4394,39954,39956,2,N
4395,39964,39964,0,E
4396,39964,39968,4,W
4397,39965,39972,7,S
4398,39979,39980,1,W
4399,39982,39984,2,N
4400,39982,39988,6,E
4401,39994,39996,2,W
4402,39995,40000,5,S
4403,40000,40004,4,E
4404,40009,40012,3,W
4405,40010,40016,6,N
4406,40018,40020,2,E
4407,40024,40024,0,W
4408,40025,40028,3,S
4409,40036,40036,0,E
4410,40038,40040,2,N
4411,40039,40044,5,W
